Score,Team
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882352,yashs
0.9411764705882353,yashs
